         124761 function calls (123510 primitive calls) in 1.649 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 models.py:589(prepare_auth)
        1    0.000    0.000    0.000    0.000 models.py:611(prepare_cookies)        
        1    0.000    0.000    0.000    0.000 models.py:631(prepare_hooks)
        1    0.000    0.000    0.000    0.000 models.py:659(__init__)
        1    0.000    0.000    0.000    0.000 models.py:770(is_redirect)
        1    0.000    0.000    0.000    0.000 models.py:795(iter_content)
        3    0.000    0.000    0.013    0.004 models.py:812(generate)
        1    0.000    0.000    0.000    0.000 models.py:85(path_url)
        3    0.000    0.000    0.013    0.004 models.py:887(content)
        1    0.000    0.000    0.000    0.000 models.py:906(text)
        1    0.000    0.000    0.000    0.000 netrc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 netrc.py:10(NetrcParseError)
        1    0.000    0.000    0.000    0.000 netrc.py:22(netrc)
     2197    0.005    0.000    0.006    0.000 ntpath.py:150(splitdrive)
        2    0.000    0.000    0.000    0.000 ntpath.py:315(expanduser)
      734    0.000    0.000    0.000    0.000 ntpath.py:35(_get_bothseps)
     1465    0.010    0.000    0.020    0.000 ntpath.py:489(normpath)
     2197    0.003    0.000    0.006    0.000 ntpath.py:51(normcase)
      733    0.001    0.000    0.014    0.000 ntpath.py:563(abspath)
      732    0.005    0.000    0.142    0.000 ntpath.py:664(realpath)
      732    0.002    0.000    0.005    0.000 ntpath.py:87(isabs)
      251    0.001    0.000    0.002    0.000 os.py:674(__getitem__)
      244    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      251    0.000    0.000    0.000    0.000 os.py:740(check_str)
      251    0.001    0.000    0.001    0.000 os.py:746(encodekey)
       25    0.000    0.000    0.000    0.000 parse.py:103(_noop)
       25    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
        1    0.000    0.000    0.000    0.000 parse.py:151(username)
        8    0.000    0.000    0.000    0.000 parse.py:159(hostname)
        1    0.000    0.000    0.000    0.000 parse.py:189(_userinfo)
        8    0.000    0.000    0.000    0.000 parse.py:201(_hostinfo)
        1    0.000    0.000    0.000    0.000 parse.py:336(geturl)
       10    0.000    0.000    0.001    0.000 parse.py:372(urlparse)
        1    0.000    0.000    0.000    0.000 parse.py:411(_splitnetloc)
        1    0.000    0.000    0.000    0.000 parse.py:419(_checknetloc)
       11    0.001    0.000    0.001    0.000 parse.py:437(urlsplit)
        2    0.000    0.000    0.000    0.000 parse.py:494(urlunparse)
        2    0.000    0.000    0.000    0.000 parse.py:505(urlunsplit)
        1    0.000    0.000    0.000    0.000 parse.py:644(unquote)
        1    0.000    0.000    0.000    0.000 parse.py:818(quote)
        1    0.000    0.000    0.000    0.000 parse.py:889(quote_from_bytes)        
